iter	Passed	Remaining
863	6477	1004
864	6485	997
865	6492	989
866	6499	982
867	6506	974
868	6512	966
869	6519	959
870	6527	951
871	6534	944
872	6541	936
873	6549	929
874	6556	921
875	6564	914
876	6572	906
877	6580	899
878	6587	891
879	6595	884
880	6602	876
881	6609	869
882	6618	862
883	6626	854
884	6635	847
885	6642	839
886	6650	832
887	6658	824
888	6665	817
889	6672	809
890	6680	802
891	6688	794
892	6696	787
893	6703	779
894	6711	772
895	6718	764
896	6734	758
897	6741	750
898	6748	743
899	6756	735
900	6764	728
901	6771	720
902	6779	713
903	6787	705
904	6795	698
905	6803	690
906	6810	683
907	6818	675
908	6824	668
909	6831	660
910	6840	653
911	6847	645
912	6855	638
913	6863	630
914	6870	623
915	6876	615
916	6883	608
917	6891	600
918	6898	593
919	6905	585
920	6912	577
921	6919	570
922	6926	562
923	6933	555
924	6939	547
925	6946	540
926	6953	532
927	6961	525
928	6968	517
929	6974	509
930	6981	502
931	6987	494
932	6995	487
933	7002	479
934	7009	472
935	7015	464
936	7022	457
937	7028	449
938	7036	442
939	7044	434
940	7052	427
941	7061	419
942	7068	412
943	7075	404
944	7082	397
945	7088	389
946	7095	382
947	7102	374
948	7109	367
949	7116	359
950	7122	352
951	7130	344
952	7138	337
953	7144	329
954	7151	322
955	7158	314
956	7165	307
957	7172	299
958	7179	291
959	7186	284
960	7193	276
961	7200	269
962	7207	261
963	7214	254
964	7221	246
965	7228	239
966	7235	231
967	7241	224
968	7249	216
969	7256	209
970	7264	201
971	7271	194
972	7278	187
973	7284	179
974	7290	171
975	7297	164
976	7304	157
977	7312	149
978	7320	142
979	7328	134
980	7336	127
981	7344	119
982	7352	112
983	7361	104
984	7369	97
985	7376	89
986	7384	82
987	7392	74
988	7400	67
989	7407	59
990	7415	52
991	7423	44
992	7431	37
993	7439	29
994	7446	22
995	7455	14
996	7462	7
997	7471	0
